epoch, train loss, val loss, train acc, val acc, miou
0, 1.61437, 1.12870, 0.58342, 0.68088, 0.12329
1, 1.00446, 1.05045, 0.72099, 0.73198, 0.17131
2, 0.95472, 0.73610, 0.71945, 0.81374, 0.21556
3, 0.76698, 0.63993, 0.78431, 0.83455, 0.24194
4, 0.71577, 0.61072, 0.79170, 0.83970, 0.25280
5, 0.56333, 0.60013, 0.84241, 0.83632, 0.25690
6, 0.51210, 0.52321, 0.85243, 0.85923, 0.28010
7, 0.42998, 0.48358, 0.87653, 0.86373, 0.30806
8, 0.45626, 0.48238, 0.87151, 0.87160, 0.32535
9, 0.41792, 0.46486, 0.88073, 0.87191, 0.32858
10, 0.37608, 0.47639, 0.88932, 0.86817, 0.32711
11, 0.38576, 0.41401, 0.88711, 0.87941, 0.34340
12, 0.37104, 0.41201, 0.88986, 0.88316, 0.34911
13, 0.35134, 0.38400, 0.89631, 0.89129, 0.36906
14, 0.30846, 0.38974, 0.90593, 0.89022, 0.37504
15, 0.32366, 0.39414, 0.90145, 0.88766, 0.37510
16, 0.29339, 0.37771, 0.91111, 0.88726, 0.38722
17, 0.29790, 0.37467, 0.90578, 0.89253, 0.38641
18, 0.27599, 0.39854, 0.91529, 0.88249, 0.37559
19, 0.28125, 0.35697, 0.91458, 0.89278, 0.40251
20, 0.27830, 0.36647, 0.91364, 0.89317, 0.39627
21, 0.27321, 0.36013, 0.91388, 0.89451, 0.40759
22, 0.28241, 0.33114, 0.91171, 0.90210, 0.41954
23, 0.24053, 0.33442, 0.92474, 0.90073, 0.42563
24, 0.26494, 0.37270, 0.91377, 0.89074, 0.42101
25, 0.24120, 0.35781, 0.92532, 0.89399, 0.41361
26, 0.23442, 0.33751, 0.92440, 0.89822, 0.43388
27, 0.24298, 0.32085, 0.92291, 0.90252, 0.44225
28, 0.21965, 0.31680, 0.93013, 0.90482, 0.45512
29, 0.22602, 0.31427, 0.92685, 0.90577, 0.44941
30, 0.21445, 0.33493, 0.93079, 0.89888, 0.45581
31, 0.21398, 0.33008, 0.93245, 0.90492, 0.46550
32, 0.20455, 0.35116, 0.93321, 0.89503, 0.44681
33, 0.21002, 0.31383, 0.93414, 0.90586, 0.48482
34, 0.21069, 0.30203, 0.93210, 0.90932, 0.50671
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
0, 1.37785, 1.06664, 0.64446, 0.73461, 0.14069
1, 0.89503, 0.86955, 0.75931, 0.79382, 0.20737
epoch, train loss, val loss, train acc, val acc, miou
epoch, train loss, val loss, train acc, val acc, miou
0, 1.40219, 1.19469, 0.65066, 0.67435, 0.11454
1, 0.74793, 0.80680, 0.80206, 0.79959, 0.20816
2, 0.61598, 0.76677, 0.82663, 0.81379, 0.23106
3, 0.59725, 0.59221, 0.82758, 0.83845, 0.25061
4, 0.48404, 0.54653, 0.85602, 0.84537, 0.26809
5, 0.49047, 0.52745, 0.86043, 0.85110, 0.29170
6, 0.44571, 0.48592, 0.86848, 0.86446, 0.31516
7, 0.39009, 0.47238, 0.88231, 0.86503, 0.33853
8, 0.39294, 0.42628, 0.88394, 0.87443, 0.34647
9, 0.34164, 0.45427, 0.89924, 0.86835, 0.35605
10, 0.35055, 0.44072, 0.89442, 0.87930, 0.37293
11, 0.34457, 0.40769, 0.89776, 0.87975, 0.37634
12, 0.31871, 0.50345, 0.90070, 0.84634, 0.35925
13, 0.34019, 0.38547, 0.89614, 0.88062, 0.38297
14, 0.30478, 0.36625, 0.90475, 0.88842, 0.40081
15, 0.28967, 0.41148, 0.90774, 0.87422, 0.39329
16, 0.28960, 0.34109, 0.91003, 0.89685, 0.41525
17, 0.26792, 0.33466, 0.91809, 0.89903, 0.42982
18, 0.26747, 0.34285, 0.91624, 0.89484, 0.42171
19, 0.24183, 0.33057, 0.92355, 0.89580, 0.44321
20, 0.24985, 0.38065, 0.92082, 0.87895, 0.45449
21, 0.25793, 0.33257, 0.91781, 0.90041, 0.46142
22, 0.23574, 0.32490, 0.92456, 0.89866, 0.46049
23, 0.24119, 0.37139, 0.92338, 0.88617, 0.44456
24, 0.23023, 0.41209, 0.92573, 0.87433, 0.48054
25, 0.25075, 0.36288, 0.91962, 0.88955, 0.47353
26, 0.22052, 0.36520, 0.92995, 0.89455, 0.45533
27, 0.22749, 0.32328, 0.92699, 0.89967, 0.50207
28, 0.22557, 0.34303, 0.92597, 0.89517, 0.49316
29, 0.20680, 0.36880, 0.93379, 0.88467, 0.46771
30, 0.21759, 0.29915, 0.92881, 0.90800, 0.50372
31, 0.18350, 0.30050, 0.94034, 0.90752, 0.52575
